tweet_id,time,user_id,user_name,follower_count,friends_count,retweet_count,category
5527,4/23/2020,1.22E+18,bodybags14,1442,1445,4,rap
5528,4/23/2020,2447005290,yngswanksinatra,1090,1036,6,rap
5529,4/23/2020,1.24E+18,MulattoDOA,968,1366,44,rap
5530,4/23/2020,3131468529,ArtistRTweeters,5143,0,1,rap
5531,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5532,4/23/2020,110911659,archelonbooks,4944,3540,0,rap
5533,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5534,4/23/2020,108113522,StreetsConnect,1887,1239,1,rap
5535,4/23/2020,1.02E+18,instaTrap,1974,550,1,rap
5536,4/23/2020,8.71E+17,j02er95,573,1020,0,rap
5537,4/23/2020,1.15E+18,yungxandoa,18,88,0,rap
5538,4/23/2020,1.21E+18,ouenaka2020,621,721,15,rap
5539,4/23/2020,255595679,EmmaNYTimes,157,260,1,rap
5540,4/23/2020,713274176,TurboTef,860,499,1,rap
5541,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5542,4/23/2020,328366851,boomsworld_sgbh,502,978,1,rap
5543,4/23/2020,373293241,majorgi12,70,243,0,rap
5544,4/23/2020,35536347,LuniImfamous,267,371,0,rap
5545,4/23/2020,1.03E+18,MusicPlanet13,43,31,2,rap
5546,4/23/2020,1.22E+18,StoreWearave,9,0,0,rap
5547,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5548,4/23/2020,1.14E+18,MuniBeats,1095,764,1,rap
5549,4/23/2020,1.14E+18,MuniBeats,1095,764,1,rap
5550,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5551,4/23/2020,7.84E+17,spark_dhm,73,118,0,rap
5552,4/23/2020,3388321841,m4thgigante,905,542,1463,rap
5553,4/23/2020,844357513,ArtistRack_,55399,52966,1,rap
5554,4/23/2020,1.15E+18,MorganMukula,175,553,0,rap
5555,4/23/2020,9.93E+17,RadiozityMusic,3557,40,1,rap
5556,4/23/2020,1.22E+18,theraulemanuel,19,40,0,rap
5557,4/23/2020,1.10E+18,VnlimitedSovnds,640,673,6,rap
5558,4/23/2020,1.08E+18,WLALIEN,1602,1599,1,rap
5559,4/23/2020,1.22E+18,RSnap_Officiel,11,29,1,rap
5560,4/23/2020,1.08E+18,WLALIEN,1602,1599,1,rap
5561,4/23/2020,1.08E+18,WLALIEN,1602,1599,1,rap
5562,4/23/2020,1.05E+18,Elixirmusic111,379,197,6,rap
5563,4/23/2020,2356813986,OficialTONE,433,379,5,rap
5564,4/23/2020,107154347,XRickBlaineX,963,1132,2,rap
5565,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5566,4/23/2020,1.21E+18,wicstone,54,210,0,rap
5567,4/23/2020,844357513,ArtistRack_,55399,52966,1,rap
5568,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5569,4/23/2020,844357513,ArtistRack_,55399,52966,1,rap
5570,4/23/2020,844344403,_ArtistRack,84373,69652,1,rap
5571,4/23/2020,9.21E+17,MelusiDawg,233,120,1,rap
5572,4/23/2020,2341846910,dreamday42,6811,3126,0,rap
5573,4/23/2020,266773507,Arbouse_records,311,410,19,rap
5574,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5575,4/23/2020,159567760,Zemoese,1813,826,1,rap
5576,4/23/2020,2797738935,edlimitee,1812,948,0,rap
5577,4/23/2020,1.03E+18,MusicPlanet13,43,31,1,rap
5578,4/23/2020,7.68E+17,DJ_GOT_IT_ALL,3428,4099,1,rap
5579,4/23/2020,7.68E+17,DJ_GOT_IT_ALL,3428,4099,1,rap
5580,4/23/2020,1623105589,ZvonimirWIRIP,1298,4280,1,rap
5581,4/23/2020,9.17E+17,thehot365,104,42,0,rap
5582,4/23/2020,1133255809,AVALANCHE_RAP,4948,5,0,rap
5583,4/23/2020,1.13E+18,Alipinski28,39,202,0,rap
5584,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5585,4/23/2020,9.34E+17,crazysweetent,293,1411,0,rap
5586,4/23/2020,339611413,Bah_Bruno293,62,375,19,rap
5587,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5588,4/23/2020,4042202355,madame_rap,2874,1369,0,rap
5589,4/23/2020,4042202355,madame_rap,2874,1369,0,rap
5590,4/23/2020,1.25E+18,pa_teacher_pa,844,1113,15,rap
5591,4/23/2020,4042202355,madame_rap,2874,1369,0,rap
5592,4/23/2020,7.06E+17,Sagarda60581289,2,6,0,rap
5593,4/23/2020,17824878,qthequestion,3834,2481,1,rap
5594,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5595,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5596,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5597,4/23/2020,24077253,Prof_ac,1190,1253,0,rap
5598,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5599,4/23/2020,9.29E+17,oyethedream,1512,1401,2,rap
5600,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5601,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5602,4/23/2020,1.02E+18,RajRravind,55,205,0,rap
5603,4/23/2020,2740470549,Davo_dlb,14,10,0,rap
5604,4/23/2020,2326179348,Thabishopproduc,3499,1078,0,rap
5605,4/23/2020,108113522,StreetsConnect,1887,1239,0,rap
5606,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5607,4/23/2020,7.72E+17,MumblerAREA,112,439,2,rap
5608,4/23/2020,17142156,kenspellman,2089,2232,0,rap
5609,4/23/2020,8.94E+17,TeamPlatinumCEO,411,297,1,rap
5610,4/23/2020,1.25E+18,syaraffffaa,0,9,28,rap
5611,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5612,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5613,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5614,4/23/2020,3217499501,_ArtistRack_,7752,8271,0,rap
5615,4/23/2020,3325377475,ItzDeeOfficialx,16,30,0,rap
5616,4/23/2020,1.04E+18,BoundlessGold,16,48,0,rap
5617,4/23/2020,1.17E+18,CollabRooms,297,2038,1,rap
5618,4/23/2020,1.21E+18,scutnun,11,22,0,rap
5619,4/23/2020,1.25E+18,KayEn199,3,15,0,rap
5620,4/23/2020,1.07E+18,flippers3sf,3,65,0,rap
5621,4/23/2020,242872717,beatstrikeradio,12412,7187,0,rap
5622,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5623,4/23/2020,1.11E+18,sakshikapoor299,45,58,0,rap
5624,4/23/2020,1.14E+18,arvvsss,99,330,0,rap
5625,4/23/2020,7.61E+17,NURIN_SND,421,259,28,rap
5626,4/23/2020,844357513,ArtistRack_,55399,52966,0,rap
5627,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5628,4/23/2020,40933039,RickyWaddas,17591,5284,0,rap
5629,4/23/2020,14267582,vu_quan,576,744,0,rap
5630,4/23/2020,1.05E+18,solitiverse,949,186,0,rap
5631,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
5632,4/23/2020,1.24E+18,theunitimes1,53,252,2,rap
5633,4/23/2020,3217499501,_ArtistRack_,7752,8271,0,rap
5634,4/23/2020,1.24E+18,Aswathikk1,0,5,2,rap
5635,4/23/2020,7.06E+17,Sagarda60581289,2,6,0,rap
5636,4/23/2020,72083823,TheRealAzIzz,1602,1905,2,rap
5637,4/23/2020,4487640800,epicsensation,193,9,0,rap
5638,4/23/2020,72083823,TheRealAzIzz,1602,1905,5,rap
5639,4/23/2020,9.73E+17,bestyogaworkout,253,18,1,rap
5640,4/23/2020,844344403,_ArtistRack,84373,69652,0,rap
